════════════════════════════════════════════════════════
  notorch — JANUS 15M base training
  DIM=320 L=8 H=5 HD=64 FFN=1024 CTX=128 V=4096 RRPRAM_R=64
  Triple attn (MHA + RRPRAM-LR + Janus Echo), 1/3 blend, single W
  Chuck, 15000 steps, lr=6.0e-04 cosine, warmup 1500
════════════════════════════════════════════════════════
train: 8744739 tokens, val: 460249 tokens
model: 16291136 params (62.15 MB fp32)
karpathy: 0.220 epochs over 15000 steps (anti-chinchilla)

training...
─────────────────────────────────────────────────────────
  step     1/15000 | train 8.3453 | best 8.3453 | lr 6.00e-05 | 3.3s (eta 827m)
  step  4800/15000 | train 5.0870 | best 3.9225 | lr 5.24e-04 | 10601.6s (eta 375m)
  step  4850/15000 | train 5.3588 | best 3.9225 | lr 5.22e-04 | 10702.9s (eta 373m)
  step  4900/15000 | train 5.5772 | best 3.9225 | lr 5.20e-04 | 10804.3s (eta 371m)
  step  4950/15000 | train 5.6015 | best 3.9225 | lr 5.18e-04 | 10905.8s (eta 369m)
  step  5000/15000 | train 5.4160 | best 3.9225 | lr 5.15e-04 | 11007.4s (eta 367m)
  ──── eval step 5000 | val 5.3305
  step  5050/15000 | train 5.7426 | best 3.9225 | lr 5.13e-04 | 11122.8s (eta 365m)
  step  5100/15000 | train 5.4398 | best 3.9225 | lr 5.11e-04 | 11224.6s (eta 363m)
  step  5150/15000 | train 5.9712 | best 3.9225 | lr 5.08e-04 | 11326.5s (eta 361m)
  step  5200/15000 | train 5.8706 | best 3.9225 | lr 5.06e-04 | 11428.2s (eta 359m)
  step  5250/15000 | train 5.3293 | best 3.9225 | lr 5.04e-04 | 11529.6s (eta 357m)
  step  5300/15000 | train 5.0369 | best 3.9225 | lr 5.01e-04 | 11631.0s (eta 355m)
  step  5350/15000 | train 5.2166 | best 3.9225 | lr 4.99e-04 | 11732.1s (eta 353m)
  step  5400/15000 | train 5.6256 | best 3.9225 | lr 4.96e-04 | 11833.2s (eta 351m)
  step  5450/15000 | train 5.1576 | best 3.9225 | lr 4.94e-04 | 11934.4s (eta 349m)
  step  5500/15000 | train 5.5059 | best 3.9225 | lr 4.91e-04 | 12035.4s (eta 346m)
  ──── eval step 5500 | val 5.3442
  step  5550/15000 | train 5.9872 | best 3.9225 | lr 4.89e-04 | 12150.8s (eta 345m)
  step  5600/15000 | train 5.3415 | best 3.9225 | lr 4.86e-04 | 12251.0s (eta 343m)
  step  5650/15000 | train 5.2415 | best 3.9225 | lr 4.84e-04 | 12351.2s (eta 341m)
  step  5700/15000 | train 5.1010 | best 3.9225 | lr 4.81e-04 | 12451.7s (eta 339m)
  step  5750/15000 | train 5.7134 | best 3.9225 | lr 4.78e-04 | 12552.0s (eta 337m)
  step  5800/15000 | train 5.2210 | best 3.9225 | lr 4.76e-04 | 12653.0s (eta 335m)
  step  5850/15000 | train 5.1216 | best 3.9225 | lr 4.73e-04 | 12757.0s (eta 333m)
  step  5900/15000 | train 5.4436 | best 3.9225 | lr 4.70e-04 | 12861.6s (eta 331m)
  step  5950/15000 | train 6.1272 | best 3.9225 | lr 4.68e-04 | 12965.7s (eta 329m)
  step  6000/15000 | train 5.4464 | best 3.9225 | lr 4.65e-04 | 13069.7s (eta 327m)
  ──── eval step 6000 | val 5.3303
  step  6050/15000 | train 5.2019 | best 3.9225 | lr 4.62e-04 | 13185.0s (eta 325m)
  step  6100/15000 | train 5.2941 | best 3.9225 | lr 4.60e-04 | 13285.8s (eta 323m)
  step  6150/15000 | train 5.4950 | best 3.9225 | lr 4.57e-04 | 13386.4s (eta 321m)
  step  6200/15000 | train 5.1676 | best 3.9225 | lr 4.54e-04 | 13487.2s (eta 319m)
  step  6250/15000 | train 5.1227 | best 3.9225 | lr 4.51e-04 | 13587.8s (eta 317m)
  step  6300/15000 | train 5.4696 | best 3.9225 | lr 4.48e-04 | 13688.4s (eta 315m)
  step  6350/15000 | train 5.1810 | best 3.9225 | lr 4.46e-04 | 13789.2s (eta 313m)
